level,id,name,changes,best_acc,best_auc,best_f1,save_dir
01_beta_analysis,B1,beta_0_1,distillation.beta=0.1;distillation.learnable_beta=False,89.76063829787235,0.9867453163028049,0.9039890112970596,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/01_beta_analysis/B1_beta_0_1
01_beta_analysis,B1,learnable_beta_init_0_1,distillation.beta=0.1;distillation.learnable_beta=True,89.22872340425532,0.9848978773698613,0.9095526330383731,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/01_beta_analysis/B1_learnable_beta_init_0_1
01_beta_analysis,B2,learnable_beta_init_0_3,distillation.beta=0.3;distillation.learnable_beta=True,90.02659574468085,0.9868842642180864,0.9147209029092634,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/01_beta_analysis/B2_learnable_beta_init_0_3
01_beta_analysis,B3,learnable_beta_init_0_5,distillation.beta=0.5;distillation.learnable_beta=True,90.29255319148936,0.9846180956705295,0.9039534928456093,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/01_beta_analysis/B3_learnable_beta_init_0_5
01_beta_analysis,B4,learnable_beta_init_0_7,distillation.beta=0.7;distillation.learnable_beta=True,90.02659574468085,0.9862165373473685,0.8989422828596796,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/01_beta_analysis/B4_learnable_beta_init_0_7
01_beta_analysis,B5,learnable_beta_init_0_9,distillation.beta=0.9;distillation.learnable_beta=True,90.55851063829788,0.9892831958672035,0.9258692959902206,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/01_beta_analysis/B5_learnable_beta_init_0_9
