epoch,train loss,train acc,test acc
1,5.326991394879347,0.42317608875386853,0.5212765957446809
2,4.792572196154671,0.5297459893048129,0.5784574468085106
3,4.512391555755534,0.5877578306325617,0.6298758869475507
4,4.241238595330142,0.6260504203046707,0.6693262419802077
5,4.055262211172338,0.6641997710906248,0.6808510638297872
6,3.873777091184402,0.7052616502511948,0.6866134760227609
7,3.7119099596604945,0.7422173418463233,0.7207446808510638
8,3.6142724389060934,0.7521963333063585,0.7597517738951013
9,3.583103686093009,0.7614113828715157,0.7668439720539336
10,3.5255314577072063,0.778934301220797,0.7650709228312715
11,3.8214088187498203,0.7231665397072858,0.7597517738951013
12,3.7084067671056737,0.7394480520391209,0.7304964547461652
13,3.5591937501162767,0.771342628142413,0.7548758869475507
14,3.4677225969691965,0.779029793917814,0.8027482273730826
15,3.3496738302516427,0.806101986431183,0.7854609933305294
16,3.278263048692183,0.8131207030087231,0.7916666675121227
17,3.149222773026655,0.8284472883703874,0.8031914893617021
18,3.0832010826325034,0.8402883882191092,0.802304965384463
19,3.056766854887978,0.8441080980122408,0.8333333337560613
20,2.968540774309699,0.8518430102955211,0.7455673763092528
21,2.959141974143166,0.8648300231459306,0.875886525245423
22,2.9111381896676862,0.8692226894399061,0.8683510638297872
23,2.81680320482203,0.8866023685842912,0.8772163124794655
24,2.792302640364132,0.8922841867661093,0.8909574468085106
25,2.75994772643329,0.8879392669800131,0.9038120571603167
