epoch,train loss,train acc,test acc
1,1.6588213768872349,0.5034854851942011,0.5833333337560613
2,1.2491050815199787,0.6422364402582301,0.6546985824057396
3,1.0682649150251704,0.7104660049479276,0.7300531914893617
4,0.8936375306251853,0.7674751721601435,0.785904255319149
5,0.7900863747227,0.7946428573705295,0.7792553191489362
6,0.7063972887827114,0.8246753247663936,0.824468085106383
7,0.6635200752612741,0.8465909090909091,0.8337765957446809
8,0.6078014480557671,0.8582410238643381,0.8497340425531915
9,0.5711846568367698,0.8773395721925134,0.8577127659574468
10,0.5629473556490505,0.8799178766056815,0.875
11,1.5562514645211838,0.7538674563010108,0.7960992912028698
12,0.7827335017568925,0.8050993126343916,0.7734929082241464
13,0.7602530904313459,0.8114973262032086,0.8000886529049975
14,0.6479008089412343,0.8411478231297457,0.8058510638297872
15,0.6166905937666561,0.85045836539192,0.7681737592879762
16,0.5472227194729973,0.8689362110301135,0.8670212765957447
17,0.5231806870131569,0.8773395721925134,0.8683510638297872
18,0.48831981787069595,0.8866023685842912,0.7952127659574468
19,0.44144291139860203,0.9008785333225434,0.8710106382978723
20,0.4170657523016241,0.9154411764705882,0.8949468085106383
21,0.4093745868792508,0.9160618794793114,0.8550531914893617
22,0.38881047173617356,0.9200248284773394,0.9069148936170213
23,0.3558889076830869,0.9374522538108622,0.8962765957446809
24,0.33151615638146426,0.9424178766056815,0.8962765957446809
25,0.3312157637135868,0.9398395721925134,0.9148936170212766
26,0.30680799165511513,0.9595588235294118,0.9175531914893617
27,0.29660728135529685,0.9585561497326203,0.9321808510638298
28,0.2968755209828443,0.9598930481283422,0.9242021276595744
29,0.2883641484746321,0.9605137511370654,0.9162234042553191
30,0.27696468517742057,0.967866692313536,0.9228723404255319
