fold_idx,n_train,n_val,best_train_acc,best_val_acc,best_epoch,training_time,status,remarks
0,28702,3190,0.9391422623953047,0.8566958990368799,75,39.6657241698836,success,
1,28702,3190,0.876503448109241,0.8395150805609003,68,30.701108744847993,success,
2,28703,3189,0.9032715237668753,0.8776022752851658,129,44.01271968618322,success,
3,28703,3189,0.8825951973985152,0.8638612493569582,81,47.936361129893584,success,
4,28703,3189,0.9150118877528305,0.8290715278360374,65,37.70280029165983,success,
5,28703,3189,0.8591024038116892,0.8025554742857662,55,41.65232696467334,success,
6,28703,3189,0.8658950450462003,0.8737326436012903,105,40.317507069956676,success,
7,28703,3189,0.9334523404485432,0.8443832168908613,81,50.84990720682405,success,
8,28703,3189,0.8629311097222832,0.8292827665095803,89,34.48209087946677,success,
9,28703,3189,0.8806008618503234,0.8382697840193712,75,36.61765901211901,success,
