fold_idx,n_train,n_val,best_train_acc,best_val_acc,best_epoch,training_time,status,remarks
0,28702,3190,0.9350166013745311,0.853168102644022,63,59.056842047061544,success,
1,28702,3190,0.8779143971178388,0.8109844173936908,90,38.06482740762177,success,
2,28703,3189,0.8980379958742943,0.8333076137803258,129,42.52731670055449,success,
3,28703,3189,0.9265288203667723,0.858693287849813,66,36.351694914808604,success,
4,28703,3189,0.9498358636854042,0.8295398961971278,124,59.55760691704152,success,
5,28703,3189,0.9231644195297768,0.8293500799583433,81,52.9627868931173,success,
6,28703,3189,0.8652609612143054,0.8427170114746887,107,59.574722511286225,success,
7,28703,3189,0.8740807609870843,0.8477528688516318,145,31.01404647343846,success,
8,28703,3189,0.94621173660384,0.8145144240284107,53,41.12613365499746,success,
9,28703,3189,0.8526083906390856,0.8456933109977416,145,32.26371398583737,success,
