epoch,train loss,train acc,test acc
1,5.650376672744751,0.475625,0.52875
2,4.857643504142761,0.555,0.595
3,4.4893747127056125,0.5790625,0.58
4,4.179256170988083,0.626875,0.65125
5,3.9267642199993134,0.643125,0.63
6,3.6857777512073517,0.6590625,0.6725
7,3.535383734703064,0.66875,0.70125
8,3.343691995739937,0.7003125,0.7075
9,3.242080099582672,0.720625,0.71375
10,3.219736601114273,0.7140625,0.72375
11,3.633946739435196,0.6765625,0.35625
12,3.518249796628952,0.674375,0.6125
13,3.412071622610092,0.6878125,0.59
14,3.191737937927246,0.710625,0.65
15,3.124315531253815,0.710625,0.675
16,2.9857766473293306,0.7246875,0.72375
17,2.8865577745437623,0.7428125,0.57125
18,2.72343470454216,0.748125,0.655
19,2.6724063646793366,0.7515625,0.65375
20,2.569378805756569,0.763125,0.6875
21,2.4385716807842255,0.77375,0.73625
22,2.337067418694496,0.79,0.76125
23,2.248560609817505,0.7921875,0.76625
24,2.1519847759604454,0.805,0.7525
25,2.0829787188768387,0.8096875,0.7725
26,2.0114929154515266,0.8184375,0.77375
27,1.9591202560067176,0.823125,0.77625
28,1.926661741733551,0.829375,0.77375
29,1.9078292164206505,0.82875,0.7725
30,1.9052836373448372,0.838125,0.76875
