level,id,name,changes,best_acc,best_auc,best_f1,save_dir
02_mtskd_weight_analysis,W1,memkd_0_2_kltemp_0_8,distillation.learnable_mtskd_weight=False;distillation.mtskd_weight=0.2,91.75531914893617,0.9872046521900876,0.9253847720211924,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/02_mtskd_weight_analysis/W1_memkd_0_2_kltemp_0_8
02_mtskd_weight_analysis,W2,memkd_0_5_kltemp_0_5,distillation.learnable_mtskd_weight=False;distillation.mtskd_weight=0.5,89.8936170212766,0.9867277113174797,0.9152782188349036,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/02_mtskd_weight_analysis/W2_memkd_0_5_kltemp_0_5
02_mtskd_weight_analysis,W3,memkd_0_8_kltemp_0_2,distillation.learnable_mtskd_weight=False;distillation.mtskd_weight=0.8,89.36170212765957,0.9873692016387569,0.9149493150108529,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/02_mtskd_weight_analysis/W3_memkd_0_8_kltemp_0_2
02_mtskd_weight_analysis,W4,fusion_learnable,distillation.learnable_mtskd_weight=True,90.15957446808511,0.9872202336955891,0.9257736554568192,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/shipsear/02_mtskd_weight_analysis/W4_fusion_learnable
