epoch,train loss,train acc,test acc
1,1.2768070583037514,0.4453304049802974,0.5460992912028698
2,1.0593813393205245,0.5682773111975766,0.4778368802780801
3,0.9610885040645294,0.6153552331388953,0.5979609933305294
4,0.8625311790940596,0.6662051186842077,0.6923758869475507
5,0.7814859494487232,0.7117551568357702,0.6812943270865907
6,0.7081259925735188,0.7544404128018547,0.773936170212766
7,0.667005337973967,0.7687643240479862,0.763741135597229
8,0.6138360583208462,0.7957410238643381,0.7921099295007422
9,0.5886056874206359,0.7996562263544869,0.8120567380113805
10,0.5731523784405408,0.8150783044131682,0.8147163124794655
