level,id,name,changes,best_acc,best_auc,best_f1,save_dir
03_memkd_weight_analysis,M1,short_0_25_long_0_5,distillation.memkd_long_weight=0.5;distillation.memkd_short_weight=0.25,93.63243039879609,0.99247824751126,0.9438164738123161,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M1_short_0_25_long_0_5
03_memkd_weight_analysis,M2,short_0_25_long_1_0,distillation.memkd_long_weight=1.0;distillation.memkd_short_weight=0.25,94.41309255079007,0.9948790108644687,0.9495434032047565,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M2_short_0_25_long_1_0
03_memkd_weight_analysis,M3,short_0_25_long_2_0,distillation.memkd_long_weight=2.0;distillation.memkd_short_weight=0.25,93.66064710308503,0.9935399717616513,0.9423390087799447,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M3_short_0_25_long_2_0
03_memkd_weight_analysis,M4,short_0_5_long_0_5,distillation.memkd_long_weight=0.5;distillation.memkd_short_weight=0.5,93.16215199398043,0.993098022758776,0.9344181586131189,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M4_short_0_5_long_0_5
03_memkd_weight_analysis,M5,short_0_5_long_1_0,distillation.memkd_long_weight=1.0;distillation.memkd_short_weight=0.5,93.47253574115877,0.9928971659965675,0.932940789119273,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M5_short_0_5_long_1_0
03_memkd_weight_analysis,M6,short_0_5_long_2_0,distillation.memkd_long_weight=2.0;distillation.memkd_short_weight=0.5,93.47253574115877,0.9923428571462753,0.9411885290607801,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M6_short_0_5_long_2_0
03_memkd_weight_analysis,M7,short_1_0_long_0_5,distillation.memkd_long_weight=0.5;distillation.memkd_short_weight=1.0,93.54778028592926,0.9929519738591857,0.9408245355961692,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M7_short_1_0_long_0_5
03_memkd_weight_analysis,M8,short_1_0_long_1_0,distillation.memkd_long_weight=1.0;distillation.memkd_short_weight=1.0,93.9334085778781,0.9928196285411937,0.9435064982051052,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M8_short_1_0_long_1_0
03_memkd_weight_analysis,M9,short_1_0_long_2_0,distillation.memkd_long_weight=2.0;distillation.memkd_short_weight=1.0,93.60421369450715,0.9924290216801412,0.937840950484453,/media/hdd1/fubohan/Code/UATR/checkpoints/hyperparameter_analysis/03_memkd_weight_analysis/M9_short_1_0_long_2_0
