2026-03-02 00:58:42,383 - INFO - ==================================================
2026-03-02 00:58:42,383 - INFO - Distillation Training Configuration
2026-03-02 00:58:42,383 - INFO - ==================================================
2026-03-02 00:58:42,383 - INFO - GPUs: [4, 5, 6, 7]
2026-03-02 00:58:42,383 - INFO - World size: 4
2026-03-02 00:58:42,383 - INFO - Dataset: /media/hdd1/chuxiaohui/AI4Ocean_UATR/DeepShip_622
2026-03-02 00:58:42,383 - INFO - Data type: wav_s@wav_t
2026-03-02 00:58:42,383 - INFO - Batch size: 16
2026-03-02 00:58:42,383 - INFO - Epochs: 200
2026-03-02 00:58:42,384 - INFO - Learning rate: 0.0004
2026-03-02 00:58:42,384 - INFO - Temperature: 2.0
2026-03-02 00:58:42,384 - INFO - Alpha: 0.3
2026-03-02 00:58:42,384 - INFO - Save dir: checkpoints/cv_deepship/total_folds10_fold4_num_epochs200_weight_decay8e-05_batch_size16_lr0.0004_distill_typeMTSKD_freezeTrue_USE_DYNAMIC_DISTILL_WEIGHTFalse_p_encoder0.1_p_classifier0.35
2026-03-02 00:58:42,384 - INFO - ==================================================
2026-03-02 00:58:42,650 - INFO - Train dataset size: 31892
2026-03-02 00:58:42,650 - INFO - Validation dataset size: 10631
2026-03-02 00:58:43,848 - INFO - Student params: 316,234 (0.32M)
2026-03-02 00:58:43,849 - INFO - Teacher params: 164,415,748 (164.42M)
2026-03-02 00:58:43,849 - INFO - Trainable params: 271,242 (0.27M)
2026-03-02 00:58:44,336 - INFO - Start training...
2026-03-02 00:58:44,336 - INFO - No checkpoint found, start from scratch
2026-03-02 00:59:08,314 - INFO - Epoch [1] Batch [0/498]                     Loss: 1.9051, Hard: 1.4593, Soft: 0.4458                     Acc: 31.25% LR: 0.000400                     Alpha: 0.5                     Beta: 0.0                     MemKD: 0.5
2026-03-02 00:59:11,335 - INFO - Epoch [1] Batch [20/498]                     Loss: 1.6844, Hard: 1.3785, Soft: 0.3059                     Acc: 30.95% LR: 0.000400                     Alpha: 0.5                     Beta: -0.007974292151629925                     MemKD: 0.5019347667694092
2026-03-02 00:59:14,403 - INFO - Epoch [1] Batch [40/498]                     Loss: 1.6916, Hard: 1.3785, Soft: 0.3131                     Acc: 32.93% LR: 0.000400                     Alpha: 0.5                     Beta: -0.01603204384446144                     MemKD: 0.5037119388580322
2026-03-02 00:59:17,428 - INFO - Epoch [1] Batch [60/498]                     Loss: 1.3494, Hard: 1.2069, Soft: 0.1425                     Acc: 35.55% LR: 0.000400                     Alpha: 0.5                     Beta: -0.024044902995228767                     MemKD: 0.5052728056907654
2026-03-02 00:59:20,458 - INFO - Epoch [1] Batch [80/498]                     Loss: 1.6997, Hard: 1.4403, Soft: 0.2594                     Acc: 38.12% LR: 0.000400                     Alpha: 0.5                     Beta: -0.03226407244801521                     MemKD: 0.5062328577041626
2026-03-02 00:59:23,496 - INFO - Epoch [1] Batch [100/498]                     Loss: 1.5961, Hard: 1.3615, Soft: 0.2345                     Acc: 40.28% LR: 0.000400                     Alpha: 0.5                     Beta: -0.0404234416782856                     MemKD: 0.5068023800849915
2026-03-02 00:59:26,603 - INFO - Epoch [1] Batch [120/498]                     Loss: 1.2382, Hard: 1.1356, Soft: 0.1026                     Acc: 41.22% LR: 0.000400                     Alpha: 0.5                     Beta: -0.048580802977085114                     MemKD: 0.5071980357170105
2026-03-02 00:59:29,647 - INFO - Epoch [1] Batch [140/498]                     Loss: 1.3116, Hard: 1.2138, Soft: 0.0979                     Acc: 42.02% LR: 0.000400                     Alpha: 0.5                     Beta: -0.05694259703159332                     MemKD: 0.5071092844009399
2026-03-02 00:59:32,710 - INFO - Epoch [1] Batch [160/498]                     Loss: 1.0070, Hard: 1.0036, Soft: 0.0034                     Acc: 42.39% LR: 0.000400                     Alpha: 0.5                     Beta: -0.06522310525178909                     MemKD: 0.5068424344062805
2026-03-02 00:59:35,722 - INFO - Epoch [1] Batch [180/498]                     Loss: 1.3481, Hard: 1.2857, Soft: 0.0624                     Acc: 42.58% LR: 0.000400                     Alpha: 0.5                     Beta: -0.07373454421758652                     MemKD: 0.5061176419258118
2026-03-02 00:59:38,861 - INFO - Epoch [1] Batch [200/498]                     Loss: 1.1822, Hard: 1.1938, Soft: -0.0116                     Acc: 42.94% LR: 0.000400                     Alpha: 0.5                     Beta: -0.082276850938797                     MemKD: 0.5050271153450012
2026-03-02 00:59:42,109 - INFO - Epoch [1] Batch [220/498]                     Loss: 0.7740, Hard: 0.9200, Soft: -0.1459                     Acc: 43.38% LR: 0.000400                     Alpha: 0.5                     Beta: -0.09115330874919891                     MemKD: 0.5030400156974792
2026-03-02 00:59:45,386 - INFO - Epoch [1] Batch [240/498]                     Loss: 0.8941, Hard: 1.0355, Soft: -0.1414                     Acc: 43.88% LR: 0.000400                     Alpha: 0.5                     Beta: -0.09996604174375534                     MemKD: 0.5007371306419373
2026-03-02 00:59:48,406 - INFO - Epoch [1] Batch [260/498]                     Loss: 0.8805, Hard: 1.0516, Soft: -0.1711                     Acc: 44.20% LR: 0.000400                     Alpha: 0.5                     Beta: -0.10913445055484772                     MemKD: 0.497911274433136
2026-03-02 00:59:51,418 - INFO - Epoch [1] Batch [280/498]                     Loss: 1.1778, Hard: 1.3003, Soft: -0.1226                     Acc: 44.40% LR: 0.000400                     Alpha: 0.5                     Beta: -0.11861018091440201                     MemKD: 0.4946606755256653
2026-03-02 00:59:54,449 - INFO - Epoch [1] Batch [300/498]                     Loss: 0.9635, Hard: 1.1861, Soft: -0.2226                     Acc: 44.93% LR: 0.000400                     Alpha: 0.5                     Beta: -0.12803372740745544                     MemKD: 0.49132832884788513
2026-03-02 00:59:57,464 - INFO - Epoch [1] Batch [320/498]                     Loss: 0.8756, Hard: 1.1349, Soft: -0.2592                     Acc: 45.25% LR: 0.000400                     Alpha: 0.5                     Beta: -0.13764166831970215                     MemKD: 0.4878368377685547
2026-03-02 01:00:00,583 - INFO - Epoch [1] Batch [340/498]                     Loss: 1.0332, Hard: 1.2855, Soft: -0.2523                     Acc: 45.40% LR: 0.000400                     Alpha: 0.5                     Beta: -0.14718224108219147                     MemKD: 0.4842991828918457
2026-03-02 01:00:03,628 - INFO - Epoch [1] Batch [360/498]                     Loss: 0.5676, Hard: 1.0134, Soft: -0.4457                     Acc: 45.62% LR: 0.000400                     Alpha: 0.5                     Beta: -0.15688616037368774                     MemKD: 0.48063328862190247
2026-03-02 01:00:06,719 - INFO - Epoch [1] Batch [380/498]                     Loss: 1.2535, Hard: 1.5015, Soft: -0.2480                     Acc: 45.72% LR: 0.000400                     Alpha: 0.5                     Beta: -0.16662630438804626                     MemKD: 0.47693127393722534
2026-03-02 01:00:09,786 - INFO - Epoch [1] Batch [400/498]                     Loss: 0.4000, Hard: 0.9323, Soft: -0.5323                     Acc: 46.09% LR: 0.000400                     Alpha: 0.5                     Beta: -0.1765744537115097                     MemKD: 0.4731186330318451
2026-03-02 01:00:12,906 - INFO - Epoch [1] Batch [420/498]                     Loss: 0.1999, Hard: 0.9076, Soft: -0.7078                     Acc: 46.47% LR: 0.000400                     Alpha: 0.5                     Beta: -0.18671514093875885                     MemKD: 0.46915769577026367
2026-03-02 01:00:15,985 - INFO - Epoch [1] Batch [440/498]                     Loss: 0.4395, Hard: 1.0373, Soft: -0.5978                     Acc: 46.46% LR: 0.000400                     Alpha: 0.5                     Beta: -0.19662244617938995                     MemKD: 0.4654480516910553
2026-03-02 01:00:19,050 - INFO - Epoch [1] Batch [460/498]                     Loss: 0.7019, Hard: 1.2849, Soft: -0.5830                     Acc: 46.72% LR: 0.000400                     Alpha: 0.5                     Beta: -0.20663630962371826                     MemKD: 0.46173152327537537
2026-03-02 01:00:22,105 - INFO - Epoch [1] Batch [480/498]                     Loss: 0.1877, Hard: 0.9964, Soft: -0.8087                     Acc: 47.10% LR: 0.000400                     Alpha: 0.5                     Beta: -0.2167476862668991                     MemKD: 0.45799925923347473
2026-03-02 01:01:04,347 - INFO - Epoch [1/200] Train Loss: 0.9992, Train Acc: 47.30%, Val Loss: 1.0714, Val Acc: 52.92%
2026-03-02 01:01:04,347 - INFO - Best model saved with accuracy: 52.92%
2026-03-02 01:01:26,645 - INFO - Epoch [2] Batch [0/498]                     Loss: -0.1153, Hard: 0.8764, Soft: -0.9917                     Acc: 62.50% LR: 0.000400                     Alpha: 0.5                     Beta: -0.22591856122016907                     MemKD: 0.4546697735786438
2026-03-02 01:01:29,707 - INFO - Epoch [2] Batch [20/498]                     Loss: 0.3056, Hard: 1.1225, Soft: -0.8169                     Acc: 50.60% LR: 0.000400                     Alpha: 0.5                     Beta: -0.23599542677402496                     MemKD: 0.4510682225227356
2026-03-02 01:01:32,693 - INFO - Epoch [2] Batch [40/498]                     Loss: -0.1838, Hard: 0.9133, Soft: -1.0971                     Acc: 52.74% LR: 0.000400                     Alpha: 0.5                     Beta: -0.24620038270950317                     MemKD: 0.44739022850990295
2026-03-02 01:01:35,710 - INFO - Epoch [2] Batch [60/498]                     Loss: -0.3040, Hard: 0.8401, Soft: -1.1440                     Acc: 53.69% LR: 0.000400                     Alpha: 0.5                     Beta: -0.2564983069896698                     MemKD: 0.44368770718574524
2026-03-02 01:01:38,745 - INFO - Epoch [2] Batch [80/498]                     Loss: -0.0703, Hard: 1.0578, Soft: -1.1282                     Acc: 52.01% LR: 0.000400                     Alpha: 0.5                     Beta: -0.26649537682533264                     MemKD: 0.4401569068431854
2026-03-02 01:01:41,777 - INFO - Epoch [2] Batch [100/498]                     Loss: 0.5864, Hard: 1.3677, Soft: -0.7813                     Acc: 51.67% LR: 0.000400                     Alpha: 0.5                     Beta: -0.27654707431793213                     MemKD: 0.4366166889667511
2026-03-02 01:01:44,999 - INFO - Epoch [2] Batch [120/498]                     Loss: 0.1642, Hard: 1.2066, Soft: -1.0424                     Acc: 51.60% LR: 0.000400                     Alpha: 0.5                     Beta: -0.2865074872970581                     MemKD: 0.4331749677658081
2026-03-02 01:01:48,077 - INFO - Epoch [2] Batch [140/498]                     Loss: -0.1203, Hard: 1.0581, Soft: -1.1784                     Acc: 51.91% LR: 0.000400                     Alpha: 0.5                     Beta: -0.2967108190059662                     MemKD: 0.4296364188194275
2026-03-02 01:01:51,162 - INFO - Epoch [2] Batch [160/498]                     Loss: 0.0033, Hard: 1.1773, Soft: -1.1740                     Acc: 51.86% LR: 0.000400                     Alpha: 0.5                     Beta: -0.3070775866508484                     MemKD: 0.4260565936565399
2026-03-02 01:01:54,212 - INFO - Epoch [2] Batch [180/498]                     Loss: 0.0976, Hard: 1.2482, Soft: -1.1507                     Acc: 51.97% LR: 0.000400                     Alpha: 0.5                     Beta: -0.3174941837787628                     MemKD: 0.42248913645744324
2026-03-02 01:01:57,298 - INFO - Epoch [2] Batch [200/498]                     Loss: -0.2571, Hard: 1.1302, Soft: -1.3873                     Acc: 52.58% LR: 0.000400                     Alpha: 0.5                     Beta: -0.3279920220375061                     MemKD: 0.41893041133880615
2026-03-02 01:02:00,385 - INFO - Epoch [2] Batch [220/498]                     Loss: -0.4516, Hard: 1.0565, Soft: -1.5082                     Acc: 52.74% LR: 0.000400                     Alpha: 0.5                     Beta: -0.33843865990638733                     MemKD: 0.41541770100593567
2026-03-02 01:02:03,521 - INFO - Epoch [2] Batch [240/498]                     Loss: -0.1125, Hard: 1.3354, Soft: -1.4479                     Acc: 53.14% LR: 0.000400                     Alpha: 0.5                     Beta: -0.3490380644798279                     MemKD: 0.41187503933906555
2026-03-02 01:02:06,604 - INFO - Epoch [2] Batch [260/498]                     Loss: -1.1065, Hard: 0.8230, Soft: -1.9295                     Acc: 53.02% LR: 0.000400                     Alpha: 0.5                     Beta: -0.35928189754486084                     MemKD: 0.40850839018821716
