method,checkpoint,feature_layer,feature_shape,num_samples
Baseline,checkpoints/ablation_shipsear/num_epochs200_weight_decay0.0001_batch_size20_lr0.0005_freezeTrue_USE_DYNAMIC_DISTILL_WEIGHTFalse_p_encoder0.355_p_classifier0.255/checkpoint_epoch_112.pth,logits,749x5,749
Best,checkpoints/ablation_shipsear/num_epochs200_weight_decay0.0001_batch_size20_lr0.0005_distill_typeMTSKD_Temp_freezeTrue_USE_DYNAMIC_DISTILL_WEIGHTFalse_p_encoder0.355_p_classifier0.255/best_student.pth,logits,749x5,749
Logits KD,checkpoints/ShipsEar/comparison_distillation_kd/checkpoint_epoch_170.pth,logits,749x5,749
Feature KD,checkpoints/ShipsEar/comparison_distillation_v2_diffkd/best_student.pth,logits,749x5,749
