epoch,train loss,train acc,test acc
1,1.2082691210508347,0.450625,0.295
2,1.0696044474840165,0.536875,0.51375
3,1.0171556371450423,0.5840625,0.49375
4,0.9458072683215142,0.6203125,0.53
5,0.9190415523946285,0.63,0.63
6,0.8835337851941586,0.645625,0.6425
7,0.8456223785877228,0.6678125,0.6775
8,0.8172597427666187,0.685625,0.705
9,0.7869251973927021,0.695625,0.71
10,0.781067299246788,0.7046875,0.71125
11,0.8991080918908119,0.6434375,0.66625
12,0.8472275963425636,0.664375,0.61375
13,0.8458211217820645,0.658125,0.70625
14,0.8020441713929176,0.6853125,0.58625
15,0.7803016228973866,0.703125,0.68375
16,0.7598409596085548,0.7053125,0.645
17,0.7250881949067116,0.72125,0.57875
18,0.7195825749635696,0.72,0.705
19,0.6813245275616646,0.7415625,0.6925
20,0.6545557647943496,0.754375,0.7075
21,0.634490937590599,0.7634375,0.7525
22,0.6225178171694279,0.7690625,0.7375
23,0.5971443888545036,0.7759375,0.755
24,0.5792521038651466,0.7875,0.76375
25,0.5586773480474949,0.7990625,0.7875
26,0.5337361895292997,0.81375,0.765
27,0.524236208871007,0.815,0.775
28,0.5143991398811341,0.8184375,0.7775
29,0.5053136642277241,0.8303125,0.77625
30,0.4975654563307762,0.8303125,0.77625
31,0.6618333955109119,0.7528125,0.57875
32,0.6406545951962471,0.7496875,0.5525
33,0.6086482600867749,0.765,0.71
34,0.6015696270763874,0.775625,0.635
35,0.5987970719486475,0.779375,0.3625
36,0.558392985612154,0.793125,0.73125
37,0.5413802944123745,0.80125,0.755
38,0.527875610217452,0.80625,0.64625
39,0.5236207883805036,0.8015625,0.68125
40,0.5001185218244791,0.816875,0.6975
41,0.4870940137282014,0.8196875,0.70875
42,0.46891065742820504,0.83125,0.64125
43,0.4525636474043131,0.8365625,0.66625
44,0.43183805245906115,0.845,0.66625
45,0.40534125655889514,0.8575,0.78
46,0.39759814608842137,0.8534375,0.6925
47,0.3610706690326333,0.8740625,0.69
48,0.348986695446074,0.88375,0.68
49,0.33143904436379673,0.8865625,0.61125
50,0.3040268871560693,0.9090625,0.58
51,0.2996463203802705,0.908125,0.76
52,0.2681284688785672,0.9240625,0.7875
53,0.27598943397402764,0.9115625,0.72125
54,0.24217185024172067,0.9359375,0.76375
55,0.23664119090884925,0.93625,0.77625
56,0.21520595394074918,0.9421875,0.795
57,0.2002664813771844,0.95125,0.70375
58,0.194844415448606,0.956875,0.795
59,0.18353994157165288,0.9621875,0.78
60,0.17093017658218743,0.964375,0.77625
