epoch,wd,batch,lr,distill_type,freeze_teacher,dynamic_weight,p_encoder,p_classifier,best_acc
200,0.0003,16,0.0005,MTSKD_Temp,True,False,0.35,0.255,88.82978723404256
200,0.0003,16,0.0005,MTSKD_Temp,True,False,0.35,0.26,88.69680851063829
200,0.0003,16,0.0005,MTSKD_Temp,True,False,0.35,0.265,88.56382978723404
200,0.0003,16,0.0005,MTSKD_Temp,True,False,0.355,0.255,88.82978723404256
200,0.0003,16,0.0005,MTSKD_Temp,True,False,0.355,0.26,88.43085106382979
200,0.0003,16,0.0005,MTSKD_Temp,True,False,0.355,0.265,88.9627659574468
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.345,0.255,88.82978723404256
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.345,0.26,90.02659574468085
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.345,0.265,88.03191489361703
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.35,0.255,89.49468085106383
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.35,0.26,90.42553191489361
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.35,0.265,88.43085106382979
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.355,0.255,89.36170212765957
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.355,0.26,89.09574468085107
200,0.0003,20,0.0005,MTSKD_Temp,True,False,0.355,0.265,89.09574468085107
